,team,opp,target,spread,team_label,opp_label,home_win_pct_week_minus_one,away_win_pct_week_minus_one,win_pct_week_minus_one,spread_week_minus_one,team_conf_label_week_minus_one,team_conf_week_minus_one,opp_conf_week_minus_one,away_conf_label_week_minus_one,opp_home_win_pct_week_minus_one,opp_away_win_pct_week_minus_one,opp_home_win_pct_one,home_wins_week_minus_one,away_wins_week_minus_one,points_against_week_minus_one,points_for_week_minus_one,total_wins_week_minus_one,total_week_minus_one,home_points_week_minus_one,away_points_week_minus_one,home_win_week_minus_one,away_win_week_minus_one,home_win_pct_week_minus_two,away_win_pct_week_minus_two,win_pct_week_minus_two,spread_week_minus_two,team_conf_label_week_minus_two,team_conf_week_minus_two,opp_conf_week_minus_two,away_conf_label_week_minus_two,opp_home_win_pct_week_minus_two,opp_away_win_pct_week_minus_two,opp_home_win_pct_two,home_wins_week_minus_two,away_wins_week_minus_two,points_against_week_minus_two,points_for_week_minus_two,total_wins_week_minus_two,total_week_minus_two,home_points_week_minus_two,away_points_week_minus_two,home_win_week_minus_two,away_win_week_minus_two,home_win_pct_week_minus_three,away_win_pct_week_minus_three,win_pct_week_minus_three,spread_week_minus_three,team_conf_label_week_minus_three,team_conf_week_minus_three,opp_conf_week_minus_three,away_conf_label_week_minus_three,opp_home_win_pct_week_minus_three,opp_away_win_pct_week_minus_three,opp_home_win_pct_three,home_win_pct_week_minus_four,away_win_pct_week_minus_four,win_pct_week_minus_four,spread_week_minus_four,team_conf_label_week_minus_four,team_conf_week_minus_four,opp_conf_week_minus_four,away_conf_label_week_minus_four,opp_home_win_pct_week_minus_four,opp_away_win_pct_week_minus_four,opp_home_win_pct_four,home_wins_week_minus_four,away_wins_week_minus_four,points_against_week_minus_four,points_for_week_minus_four,total_wins_week_minus_four,total_week_minus_four,home_points_week_minus_four,away_points_week_minus_four,home_win_week_minus_four,away_win_week_minus_four,home_win_pct_week_minus_five,away_win_pct_week_minus_five,win_pct_week_minus_five,spread_week_minus_five,team_conf_label_week_minus_five,team_conf_week_minus_five,opp_conf_week_minus_five,away_conf_label_week_minus_five,home_wins_week_minus_five,away_wins_week_minus_five,points_against_week_minus_five,points_for_week_minus_five,total_wins_week_minus_five,total_week_minus_five,home_points_week_minus_five,away_points_week_minus_five,home_win_week_minus_five,away_win_week_minus_five,opp_home_win_pct_week_minus_five,opp_away_win_pct_week_minus_five,opp_home_win_pct_five
20,Austin College,Southwestern University,0,-11.0,425,135,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-3.0,53,American Southwest,American Southwest,53,0.6666666666666666,1.0,0.8333333333333334,0,0.0,173.0,43.0,0,5.0,21.0,24.0,0,1,0.0,0.0,0.0,-22.0,53,American Southwest,American Southwest,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
21,Austin Peay,Jacksonville State,0,-24.0,291,4,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.3333333333333333,0.6666666666666666,35.0,4,Atlantic Sun,OVC,35,0.5,0.0,0.2,3,1.0,110.0,210.0,4,6.0,52.0,17.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.75,11.0,4,Atlantic Sun,Atlantic Sun,4,2,1.0,41.0,159.0,3,4.0,31.0,20.0,1,0,0.0,0.0,0.0
22,Averett,Shenandoah,0,-45.0,601,493,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.6666666666666666,-48.0,68,Old Dominion,Old Dominion,68,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
23,BYU,East Carolina,0,-3.0,533,132,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.3333333333333333,0.6666666666666666,-17.0,9,FBS Independents,SEC,28,0.0,0.0,0.0,3,1.0,160.0,192.0,4,6.0,35.0,52.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,1.0,0.8,1.0,0.5,0.75,12.0,9,FBS Independents,Mountain West,5,0.5,0.0,0.25,2,1.0,106.0,134.0,3,4.0,38.0,26.0,1,0,1.0,0.5,0.6666666666666666,14.0,9,FBS Independents,Mountain West,5,1,1.0,82.0,96.0,2,3.0,38.0,24.0,1,0,0.0,0.0,0.0
24,Barton College,Catawba,1,17.0,643,645,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.5,0.3333333333333333,-34.0,20,South Atlantic,South Atlantic,20,0.0,0.0,0.0,0,2.0,140.0,126.0,2,6.0,0.0,34.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,1.0,0.8,0.0,0.6666666666666666,0.5,-1.0,20,South Atlantic,South Atlantic,20,0.0,1.0,0.5,0,2.0,84.0,92.0,2,4.0,13.0,14.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
25,Belhaven College,LaGrange College,1,54.0,522,555,1.0,0.75,0.8333333333333334,36.0,55,USA South,USA South,55,0.6666666666666666,0.0,0.4,2,3.0,104.0,229.0,5,6.0,42.0,6.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.6666666666666666,0.75,24.0,55,USA South,USA South,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.3333333333333333,0.25,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
26,Benedict College,Clark Atlanta,1,29.0,242,437,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,17.0,60,SIAC,SIAC,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,26.0,60,SIAC,SIAC,60,2,1.0,20.0,90.0,3,3.0,40.0,14.0,1,0,0.0,0.0,0.0
27,Benedictine (IL),Aurora,0,-7.0,508,406,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,1.0,1.0,1.0,-14.0,27,NACC,NACC,27,0.0,0.0,0.0,2,2.0,53.0,206.0,4,4.0,12.0,26.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.3333333333333333
28,Berry College,Millsaps,1,56.0,457,41,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.5,0.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.5,0.5,34.0,26,Southern Athletic,Southern Athletic,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
29,Bethel (MN),St. Olaf College,1,21.0,213,416,0.0,0.0,0.0,0.0,0,,,0,1.0,0.2,0.3333333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.8,38.0,65,Minnesota,Minnesota,65,0.0,0.0,0.0,3,1.0,84.0,155.0,4,5.0,45.0,7.0,1,0,1.0,0.5,0.75,35.0,65,Minnesota,Minnesota,65,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.5,4.0,65,Minnesota,Minnesota,65,1,0.0,19.0,48.0,1,2.0,28.0,24.0,1,0,1.0,1.0,1.0
30,Birmingham-Southern,Hendrix College,1,23.0,492,203,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.5,0.6,28.0,26,Southern Athletic,Southern Athletic,26,0.0,0.0,0.0,2,1.0,94.0,139.0,3,5.0,28.0,0.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,1.0,0.5,0.5,1.0,0.6666666666666666,14.0,26,Southern Athletic,Southern Athletic,26,0.0,0.0,0.0,1,1.0,61.0,95.0,2,3.0,24.0,10.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
31,Black Hills State,Fort Lewis,1,75.0,395,420,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.75,0.8333333333333334,-1.0,10,Rocky Mountain,Rocky Mountain,10,0.0,0.3333333333333333,0.2,2,3.0,119.0,170.0,5,6.0,27.0,28.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.5,0.25,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,3.0,10,Rocky Mountain,Rocky Mountain,10,1,2.0,44.0,87.0,3,3.0,31.0,28.0,1,0,0.0,0.0,0.0
32,Boise State,Colorado State,1,39.0,596,438,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.3333333333333333,0.6,20.0,5,Mountain West,Mountain West,5,0.5,0.3333333333333333,0.4,1.0,0.3333333333333333,0.5,22.0,5,Mountain West,Mountain West,5,0.0,0.0,0.0,1,1.0,82.0,88.0,2,4.0,35.0,13.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
33,Brockport State (NY),Buffalo State,1,52.0,126,544,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.3333333333333333,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.75,-18.0,50,Empire 8,Empire 8,50,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,25.0,50,Empire 8,Empire 8,50,0.5,1.0,0.75,1,1.0,34.0,50.0,2,3.0,25.0,0.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
34,Brown,Pennsylvania,1,3.0,552,558,0.5,0.3333333333333333,0.4,-3.0,70,Ivy,Ivy,70,0.0,0.0,0.0,1,1.0,166.0,128.0,2,5.0,21.0,24.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0,,,0,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,-7.0,70,Ivy,Ivy,70,1,0.0,0.0,0.0,1,0.0,28.0,35.0,0,1,0.0,0.0,0.0
35,Bucknell,Colgate,0,-6.0,244,625,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.3333333333333333,0.0,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,56,Patriot,Patriot,56,0.0,0.0,0.0,0,0.0,79.0,27.0,0,3.0,14.0,24.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
36,Buena Vista,Wartburg,0,-65.0,256,487,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,0.3333333333333333,-25.0,61,American Rivers,American Rivers,61,0.0,0.0,0.0,0,2.0,270.0,132.0,2,6.0,27.0,52.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,1.0,0.75,0.0,1.0,0.5,-30.0,61,American Rivers,American Rivers,61,0.0,0.0,0.0,0,2.0,159.0,116.0,2,4.0,16.0,46.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.5,0.3333333333333333
37,Butler,Morehead State,1,36.0,166,605,1.0,0.3333333333333333,0.6666666666666666,21.0,51,Pioneer,Pioneer,51,0.0,0.0,0.0,3,1.0,137.0,150.0,4,6.0,31.0,10.0,1,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.3333333333333333,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.5,31.0,51,Pioneer,Pioneer,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.0,0.0
38,Cal Lutheran,La Verne,0,-7.0,532,621,0.3333333333333333,0.75,0.5714285714285714,-4.0,69,So. Cal.,So. Cal.,69,0.0,0.2,0.16666666666666666,1,3.0,166.0,192.0,4,7.0,24.0,28.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,1.0,0.8,-21.0,69,So. Cal.,So. Cal.,69,1.0,0.75,0.8,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.6666666666666666
39,California,Oregon,0,-18.0,238,528,1.0,0.0,0.5,-7.0,40,Pac-12,Pac-12,40,0.0,0.0,0.0,3,0.0,130.0,142.0,3,6.0,21.0,28.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.5,0.6,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.6666666666666666,18.0,40,Pac-12,Pac-12,40,2,0.0,51.0,71.0,2,3.0,49.0,31.0,1,0,1.0,1.0,1.0
40,Capital,Baldwin-Wallace,0,-41.0,475,637,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-35.0,54,Ohio,Ohio,54,0.0,0.0,0.0,0,0.0,182.0,110.0,0,5.0,14.0,49.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.5,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-3.0,54,Ohio,Ohio,54,0,0.0,113.0,51.0,0,3.0,31.0,34.0,0,1,0.0,0.0,0.0
41,Carnegie Mellon,St. Vincent,1,18.0,109,180,1.0,1.0,1.0,41.0,49,Presidents',Presidents',49,0.3333333333333333,0.25,0.2857142857142857,2,4.0,90.0,159.0,6,6.0,41.0,0.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.5,0.6666666666666666,0.6,1.0,1.0,1.0,0.0,49,Presidents',Presidents',49,0.0,0.0,0.0,2,2.0,63.0,120.0,4,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.6666666666666666
42,Carroll (WI),Carthage,1,45.0,612,573,0.0,0.0,0.0,0.0,0,,,0,1.0,0.0,0.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.75,-73.0,59,Midwest,CCIW,58,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,3.0,59,Midwest,CCIW,58,0.0,0.0,0.0,1,1.0,33.0,117.0,2,3.0,44.0,41.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
43,Castleton State College,Alfred State College,1,24.0,403,153,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.0,0.3333333333333333,3.0,57,ECFC,ECFC,57,0.0,0.0,0.0,2,0.0,100.0,138.0,2,6.0,36.0,33.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.5,0.0,0.25,39.0,57,ECFC,ECFC,57,0.5,1.0,0.6666666666666666,1,0.0,80.0,82.0,1,4.0,39.0,0.0,1,0,1.0,0.0,0.3333333333333333,-28.0,57,ECFC,Liberty League,46,1,0.0,46.0,76.0,1,3.0,6.0,34.0,0,1,0.0,0.0,0.0
44,Central Arkansas,North Alabama,1,35.0,80,479,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.3333333333333333,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.3333333333333333,0.4,-3.0,4,Atlantic Sun,OVC,35,1.0,0.0,0.25,0.0,0.3333333333333333,0.25,29.0,4,Atlantic Sun,Atlantic Sun,4,0.0,0.0,0.0,0,1.0,137.0,75.0,1,4.0,49.0,20.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
45,Central Connecticut,Wagner,1,27.0,451,24,0.0,0.0,0.0,-24.0,17,NEC,NEC,17,0.0,0.0,0.0,0,0.0,223.0,78.0,0,6.0,6.0,30.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-7.0,17,NEC,Ivy,70,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,,,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
46,Central Missouri State,Lincoln (MO),1,47.0,333,430,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.16666666666666666,3.0,34,Mid America,Mid America,34,0.0,0.0,0.0,1,0.0,180.0,117.0,1,6.0,20.0,17.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.5,0.6666666666666666,0.6,0.0,0.0,0.0,22.0,34,Mid America,Mid America,34,0.0,0.0,0.0,0,0.0,123.0,55.0,0,4.0,35.0,13.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
47,Central Oklahoma,Pittsburg State,0,-31.0,331,74,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.3333333333333333,0.6666666666666666,12.0,34,Mid America,Mid America,34,0.0,0.0,0.0,3,1.0,111.0,165.0,4,6.0,35.0,23.0,1,0,1.0,0.3333333333333333,0.6,49.0,34,Mid America,Mid America,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.3333333333333333,9.0,34,Mid America,Mid America,34,1,0.0,88.0,42.0,1,3.0,23.0,14.0,1,0,1.0,0.0,0.6666666666666666
48,Central Washington,Texas A&M-Kingsville,1,4.0,530,305,0.0,0.0,0.0,0.0,0,,,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.6666666666666666,0.6,7.0,38,Lone Star,Lone Star,38,0.0,0.0,0.0,1,2.0,89.0,143.0,3,5.0,17.0,10.0,1,0,1.0,0.6666666666666666,0.75,-2.0,38,Lone Star,Lone Star,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
49,Centre,Trinity (TX),0,-20.0,509,294,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.6666666666666666,0.8,-1.0,26,Southern Athletic,Southern Athletic,26,0.5,0.3333333333333333,0.4,2,2.0,79.0,107.0,4,5.0,30.0,31.0,0,1,1.0,0.6666666666666666,0.75,19.0,26,Southern Athletic,Southern Athletic,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.5,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
50,Chadron State,New Mexico Highlands,1,14.0,619,16,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.25,0.16666666666666666,2.0,10,Rocky Mountain,Rocky Mountain,10,0.3333333333333333,0.6666666666666666,0.5,0,1.0,227.0,126.0,1,6.0,29.0,27.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,10,Rocky Mountain,Rocky Mountain,10,0.0,0.3333333333333333,0.25,0,0.0,179.0,61.0,0,4.0,9.0,45.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.6666666666666666
51,Chicago,Grinnell,1,58.0,577,399,0.0,0.0,0.0,0.0,0,,,0,0.75,1.0,0.8333333333333334,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,1.0,0.8,38.0,59,Midwest,Midwest,59,0.5,0.3333333333333333,0.4,1,3.0,75.0,187.0,4,5.0,45.0,7.0,1,0,1.0,1.0,1.0,-3.0,59,Midwest,Midwest,59,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
52,Clarion,Slippery Rock,0,-31.0,18,257,0.0,0.75,0.42857142857142855,-30.0,12,Pennsylvania State Athletic,Pennsylvania State Athletic,12,0.6666666666666666,0.5,0.5714285714285714,0,3.0,210.0,162.0,3,7.0,17.0,47.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.5,0.25,-45.0,12,Pennsylvania State Athletic,Pennsylvania State Athletic,12,1.0,1.0,1.0,0,1.0,117.0,85.0,1,4.0,14.0,59.0,0,1,0.0,0.5,0.3333333333333333,-23.0,12,Pennsylvania State Athletic,Pennsylvania State Athletic,12,0,1.0,70.0,61.0,1,3.0,24.0,47.0,0,1,0.0,0.0,0.0
53,Coe,Central,1,6.0,175,207,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.6666666666666666,0.8,-1.0,61,American Rivers,American Rivers,61,0.0,0.6666666666666666,0.3333333333333333,2,2.0,63.0,198.0,4,5.0,14.0,15.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.3333333333333333,0.25,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.6666666666666666,38.0,61,American Rivers,American Rivers,61,1,1.0,43.0,94.0,2,3.0,48.0,10.0,1,0,0.0,0.0,0.0
54,Colorado,Arizona State,0,-8.0,115,91,0.0,0.0,0.0,0.0,0,,,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7.0,40,Pac-12,Pac-12,40,0.0,0.0,0.0,0,0.0,216.0,67.0,0,5.0,20.0,13.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-28.0,40,Pac-12,Pac-12,40,0,0.0,128.0,30.0,0,3.0,17.0,45.0,0,1,0.0,0.0,0.0
