,team,opp,target,spread,team_label,opp_label,home_win_pct_week_minus_one,away_win_pct_week_minus_one,win_pct_week_minus_one,spread_week_minus_one,team_conf_label_week_minus_one,team_conf_week_minus_one,opp_conf_week_minus_one,away_conf_label_week_minus_one,opp_home_win_pct_week_minus_one,opp_away_win_pct_week_minus_one,opp_home_win_pct_one,home_wins_week_minus_one,away_wins_week_minus_one,points_against_week_minus_one,points_for_week_minus_one,total_wins_week_minus_one,total_week_minus_one,home_points_week_minus_one,away_points_week_minus_one,home_win_week_minus_one,away_win_week_minus_one,home_win_pct_week_minus_two,away_win_pct_week_minus_two,win_pct_week_minus_two,spread_week_minus_two,team_conf_label_week_minus_two,team_conf_week_minus_two,opp_conf_week_minus_two,away_conf_label_week_minus_two,opp_home_win_pct_week_minus_two,opp_away_win_pct_week_minus_two,opp_home_win_pct_two,home_wins_week_minus_two,away_wins_week_minus_two,points_against_week_minus_two,points_for_week_minus_two,total_wins_week_minus_two,total_week_minus_two,home_points_week_minus_two,away_points_week_minus_two,home_win_week_minus_two,away_win_week_minus_two,home_win_pct_week_minus_three,away_win_pct_week_minus_three,win_pct_week_minus_three,spread_week_minus_three,team_conf_label_week_minus_three,team_conf_week_minus_three,opp_conf_week_minus_three,away_conf_label_week_minus_three,opp_home_win_pct_week_minus_three,opp_away_win_pct_week_minus_three,opp_home_win_pct_three,home_win_pct_week_minus_four,away_win_pct_week_minus_four,win_pct_week_minus_four,spread_week_minus_four,team_conf_label_week_minus_four,team_conf_week_minus_four,opp_conf_week_minus_four,away_conf_label_week_minus_four,opp_home_win_pct_week_minus_four,opp_away_win_pct_week_minus_four,opp_home_win_pct_four,home_wins_week_minus_four,away_wins_week_minus_four,points_against_week_minus_four,points_for_week_minus_four,total_wins_week_minus_four,total_week_minus_four,home_points_week_minus_four,away_points_week_minus_four,home_win_week_minus_four,away_win_week_minus_four,home_win_pct_week_minus_five,away_win_pct_week_minus_five,win_pct_week_minus_five,spread_week_minus_five,team_conf_label_week_minus_five,team_conf_week_minus_five,opp_conf_week_minus_five,away_conf_label_week_minus_five,home_wins_week_minus_five,away_wins_week_minus_five,points_against_week_minus_five,points_for_week_minus_five,total_wins_week_minus_five,total_week_minus_five,home_points_week_minus_five,away_points_week_minus_five,home_win_week_minus_five,away_win_week_minus_five,opp_home_win_pct_week_minus_five,opp_away_win_pct_week_minus_five,opp_home_win_pct_five
10,Anderson (IN),Hanover,0,-59.0,463,324,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-56.0,62,Heartland,Heartland,62,0.0,0.25,0.2,0,0.0,237.0,28.0,0,5.0,3.0,59.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-38.0,62,Heartland,Heartland,62,0.0,0.0,0.0,0,0.0,138.0,7.0,0,3.0,7.0,45.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
11,Appalachian State,Robert Morris,1,39.0,119,134,0.5,0.5,0.5,25.0,44,Sun Belt,Sun Belt,44,0.0,0.0,0.0,2,1.0,173.0,211.0,3,6.0,42.0,17.0,1,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.0,0.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,49.0,44,Sun Belt,Southern,8,0.6666666666666666,0.0,0.5,1,1.0,137.0,138.0,2,4.0,49.0,0.0,1,0,0.5,1.0,0.6666666666666666,-4.0,44,Sun Belt,Sun Belt,44,1,1.0,105.0,110.0,2,3.0,28.0,32.0,0,1,0.0,0.0,0.0
12,Arizona,USC,0,-8.0,534,255,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.3333333333333333,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.5,0.6,-27.0,40,Pac-12,Pac-12,40,0.0,0.0,0.0,0.5,0.5,0.5,23.0,40,Pac-12,Pac-12,40,0.0,0.0,0.0,1,1.0,136.0,117.0,2,4.0,43.0,20.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0
13,Arkansas State,South Alabama,0,-28.0,268,239,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.4,-22.0,44,Sun Belt,Sun Belt,44,0.0,0.0,0.0,1.0,0.0,0.25,17.0,44,Sun Belt,Sun Belt,44,1.0,0.0,0.5,1,0.0,121.0,128.0,1,4.0,45.0,28.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
14,Arkansas Tech,Southwestern Oklahoma,1,1.0,500,502,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.75,0.7142857142857143,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.3333333333333333,0.5,-16.0,31,Great American,Great American,31,0.0,0.0,0.0,2,1.0,200.0,179.0,3,6.0,33.0,49.0,0,1,0.0,0.0,0.0,0.0,0,,,0,1.0,1.0,1.0,0.5,0.0,0.25,13.0,31,Great American,Great American,31,0.0,0.0,0.0,1,0.0,152.0,97.0,1,4.0,48.0,35.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.5,0.3333333333333333
15,Arkansas-Monticello,Southeastern Oklahoma,0,-28.0,472,60,0.6666666666666666,0.25,0.42857142857142855,-13.0,31,Great American,Great American,31,0.0,0.0,0.0,2,1.0,198.0,199.0,3,7.0,43.0,56.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.3333333333333333,0.16666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.3333333333333333,0.6,-3.0,31,Great American,Great American,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.5,0.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.6666666666666666,21.0,31,Great American,Great American,31,1,1.0,80.0,107.0,2,3.0,35.0,14.0,1,0,0.0,0.0,0.0
16,Assumption,New Haven,1,1.0,121,372,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.6666666666666666,0.8,-7.0,11,Northeast 10,Northeast 10,11,0.0,0.0,0.0,2,2.0,87.0,102.0,4,5.0,3.0,10.0,0,1,1.0,0.6666666666666666,0.75,14.0,11,Northeast 10,Northeast 10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.6666666666666666
17,Auburn,Arkansas,0,-14.0,287,230,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.3333333333333333,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.5,0.8,0.75,0.0,0.0,-4.0,28,SEC,SEC,28,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,17.0,21.0,0,1,0.6666666666666666,0.0,0.0,3.0,28,SEC,SEC,28,2,0.0,0.0,0.0,2,0.0,17.0,14.0,1,0,0.6666666666666666,0.0,0.0
18,Augsburg,Concordia (MN),1,3.0,638,639,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.5,0.8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.6666666666666666,0.75,-45.0,65,Minnesota,Minnesota,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.0,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
19,Augustana (IL),Illinois Wesleyan,1,3.0,155,414,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.6666666666666666,0.6,-21.0,58,CCIW,CCIW,58,0.0,0.0,0.0,1,2.0,126.0,207.0,3,5.0,28.0,49.0,0,1,0.0,0.0,0.0,0.0,0,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,-10.0,58,CCIW,CCIW,58,1,1.0,44.0,68.0,2,2.0,28.0,38.0,0,1,0.0,0.0,0.0
