,team,team_label
297,Geneva College,298
298,North Carolina Central,299
299,North Texas,300
300,Mississippi State,301
301,Alabama,302
302,South Carolina,303
303,Ohio State,304
304,Texas A&M-Kingsville,305
305,Western State,306
306,Western New Mexico,307
307,New Mexico,308
308,Monmouth (IL),309
309,Texas,310
310,Syracuse,311
311,Texas Tech,312
312,Stanford,313
313,Montana State,314
314,Northwestern (MN),315
315,Crown College,316
316,San Diego,317
317,Washington State,318
318,George Fox University,319
319,Chapman,320
320,Oregon State,321
321,Washington,322
322,Sacramento State,323
323,Hanover,324
324,Jackson State,325
325,Central State,326
326,Tuskegee,327
327,Georgia Tech,328
328,West Liberty,329
329,Fairmont State,330
330,Central Oklahoma,331
331,Missouri State,332
332,Central Missouri State,333
333,Nebraska-Kearney,334
334,Fort Hays State,335
335,Nichols,336
336,SUNY Maritime,337
337,Worcester Polytechnic,338
338,FDU-Florham,339
339,Framingham State,340
340,Alfred,341
341,Millersville,342
342,UNC Pembroke,343
343,Shepherd,344
344,Penn State,345
345,Hilbert College,346
346,Anna Maria College,347
347,Georgia State,348
348,Notre Dame College,349
349,Kutztown,350
350,Army,351
351,Duquesne,352
352,Norwich,353
353,Husson,354
354,Hiram,355
355,Otterbein,356
356,Oberlin,357
357,Shorter,358
358,NC State,359
359,Presbyterian College,360
360,Moravian,361
361,UW-Whitewater,362
362,Ithaca,363
363,Adrian,364
364,Lebanon Valley,365
365,Union,366
366,Catholic University,367
367,Westminster PA,368
368,St. Augustine's,369
369,Shippensburg,370
370,Mississippi College,371
371,New Haven,372
372,Carson-Newman,373
373,Tiffin,374
374,Long Island University,375
375,Monmouth,376
376,Stonehill,377
377,Concord,378
378,Western New England,379
379,Stevenson,380
380,Fort Valley State,381
381,Maine,382
382,Central Michigan,383
383,Thiel College,384
384,Waynesburg,385
385,Ferrum,386
386,Misericordia,387
387,Juniata,388
388,Muhlenberg,389
389,Hampden-Sydney,390
390,University of New England,391
391,Ursinus,392
392,MIT,393
393,Susquehanna,394
394,Black Hills State,395
395,Wilmington (OH),396
396,VMI,397
397,Utah,398
398,Grinnell,399
399,Temple,400
400,Concordia (WI),401
401,McKendree,402
402,Castleton State College,403
403,St. Norbert,404
404,Hamline,405
405,Aurora,406
406,Washington (MO),407
407,Augustana (SD),408
408,South Dakota Mines,409
409,St. Thomas (MN),410
410,Drake,411
411,Bridgewater (VA),412
412,Westminster,413
413,Illinois Wesleyan,414
414,Colorado Mines,415
415,St. Olaf College,416
416,Beloit College,417
417,Ball State,418
418,Sioux Falls,419
419,Fort Lewis,420
420,Winona State,421
421,Carleton,422
422,Greenville,423
423,Illinois College,424
424,Austin College,425
425,Wisconsin-Platteville,426
426,Mayville State,427
427,Notre Dame,428
428,Albright,429
429,Lincoln (MO),430
430,Lane,431
431,Cincinnati,432
432,Clemson,433
433,Bethune-Cookman,434
434,North Dakota,435
435,The Citadel,436
436,Clark Atlanta,437
437,Colorado State,438
438,Bowling Green,439
439,Elizabeth City State,440
440,Claremont,441
441,Upper Iowa,442
442,Bentley,443
443,Rutgers,444
444,Whitworth,445
445,Western Oregon,446
446,Georgetown,447
447,Cal Poly,448
448,Richmond,449
449,Findlay,450
450,Central Connecticut,451
451,Buffalo,452
452,William & Mary,453
453,Allen,454
454,Alma College,455
455,West Virginia,456
456,Berry College,457
457,Southwest Minnesota State,458
458,Lock Haven,459
459,Bluefield College,460
460,Bryant,461
461,Delaware,462
462,Anderson (IN),463
463,Liberty,464
464,Wofford,465
465,Miami (OH),466
466,Florida A&M,467
467,Virginia State,468
468,Wayne State (MI),469
469,East Stroudsburg,470
470,Lawrence,471
471,Arkansas-Monticello,472
472,North Greenville,473
473,Ouachita Baptist,474
474,Capital,475
475,Tennessee Tech,476
476,Albany,477
477,Southern Illinois,478
478,North Alabama,479
479,South Dakota State,480
480,Sam Houston State,481
481,Towson,482
482,Eastern Illinois,483
483,Houston Christian,484
484,Davidson,485
485,Rose-Hulman,486
486,Wartburg,487
487,Northwestern State,488
488,Hillsdale,489
489,Minnesota State,490
490,Miles,491
491,Birmingham-Southern,492
492,Shenandoah,493
493,Tennessee State,494
494,Murray State,495
495,Guilford,496
496,Tulsa,497
497,Northeastern State,498
498,Southwest Baptist,499
499,Arkansas Tech,500
500,Northwestern Oklahoma State,501
501,Southwestern Oklahoma,502
502,Louisiana Tech,503
503,Texas State,504
504,SMU,505
505,Christopher Newport,506
506,Wisconsin Lutheran,507
507,Benedictine (IL),508
508,Centre,509
509,Macalester,510
510,Dubuque,511
511,Troy,512
512,Wayne State (NE),513
513,LSU,514
514,Rice,515
515,Illinois State,516
516,Harding,517
517,Colorado State-Pueblo,518
518,Kentucky Wesleyan,519
519,Howard Payne,520
520,Eastern New Mexico,521
521,Belhaven College,522
522,Virginia Tech,523
523,TCU,524
524,Presentation College,525
525,Louisiana Monroe,526
526,West Texas A&M,527
527,Oregon,528
528,Utah Tech,529
529,Central Washington,530
530,Pomona-Pitzer,531
531,Cal Lutheran,532
532,BYU,533
533,Arizona,534
534,Harvard,535
535,Louisville,536
536,Lehigh,537
537,Morgan State,538
538,Wilkes,539
539,Bowdoin,540
540,Kent State,541
541,Mercyhurst,542
542,Seton Hill College,543
543,Buffalo State,544
544,Edinboro,545
545,Davenport,546
546,Charleston (WV),547
547,Rochester,548
548,NC Wesleyan,549
549,Dean College,550
550,Endicott College,551
551,Brown,552
552,Mars Hill,553
553,Johns Hopkins,554
554,LaGrange College,555
555,Fordham,556
556,Rhode Island,557
557,Pennsylvania,558
558,Dayton,559
559,Glenville State,560
560,Iowa Wesleyan,561
561,King's College (PA),562
562,Mass Maritime,563
563,Wesleyan,564
564,Colby,565
565,Dartmouth,566
566,John Carroll,567
567,Tufts,568
568,Defiance,569
569,Franklin,570
570,WV Wesleyan,571
571,Cornell College (IA),572
572,Carthage,573
573,Sul Ross State,574
574,Nebraska Wesleyan University,575
575,Wooster,576
576,Chicago,577
577,South Dakota,578
578,Norfolk State,579
579,Holy Cross,580
580,Whittier,581
581,Amherst College,582
582,Gustavus Adolphus,583
583,West Alabama,584
584,Idaho State,585
585,Idaho,586
586,Colorado Mesa,587
587,Howard,588
588,Alabama A&M,589
589,Southeast Missouri State,590
590,Adams State,591
591,Western Carolina,592
592,UMass,593
593,Houston,594
594,Northern Arizona,595
595,Boise State,596
596,Linfield,597
597,Western Illinois,598
598,Simon Fraser,599
599,Northern Iowa,600
600,Averett,601
601,Bluffton,602
